selection_id,batch,image,value,unit,display_text,confidence,format,source_group,leading_zeros,max_repeat_run,token_count,selection_reason,review_priority,annotation_status,notes
1,batch_01,38.png,00.000,kW,F MD,0.85,decimal,LCD_ORIGINAL,2,3,2,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
2,batch_01,46.png,000.72,kW,T4,0.95,decimal,LCD_ORIGINAL,3,3,1,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
3,batch_01,51.png,002.99,A,IP T4,0.95,decimal,LCD_ORIGINAL,2,2,2,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
4,batch_01,61.png,003.01,A,IP T4,0.95,decimal,LCD_ORIGINAL,2,2,2,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
5,batch_01,63.png,000.68,kW,T4,0.95,decimal,LCD_ORIGINAL,3,3,1,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
6,batch_01,64.png,0.997,,PF T4,0.95,decimal,LCD_ORIGINAL,1,2,2,"decimal, leading zeros, repeated chars",Standard review,Not started,
7,batch_01,103.png,09:15:00,kVA,t IP B1 MD,0.85,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
8,batch_01,161.png,00:00:00,,d lr,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,
9,batch_01,187.png,04:07:26,,d,0.9,colon,Images,1,1,1,"colon/time, leading zeros",Standard review,Not started,
10,batch_01,203.png,09:00:00,kVA,t EP B1 MD,0.85,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
11,batch_01,205.png,28:06:26,kVA,d EP B1 MD,0.85,colon,Images,0,1,4,"colon/time, multi-token text, explicit unit",Standard review,Not started,
12,batch_01,213.png,22:06:26,,d,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,
13,batch_01,222.png,17:12:00,kW,t IP B1 MD,0.85,colon,Images,0,2,4,"colon/time, repeated chars, multi-token text, explicit unit",Standard review,Not started,
14,batch_01,231.png,00:00:00,,d BAL,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,
15,batch_01,246.png,28:06:26,kW,d IP B1 MD,0.9,colon,Images,0,1,4,"colon/time, multi-token text, explicit unit",Standard review,Not started,
16,batch_01,250.png,09:15:00,kW,t IP B1 MD,0.9,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
17,batch_01,269.png,00:00:00,,t BAL,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,
18,batch_01,283.png,00:00:00,,t lr,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,
19,batch_01,287.png,09:00:00,kW,t EP B1 MD,0.9,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, explicit unit",Standard review,Not started,
20,batch_01,291.png,28:06:26,kW,d EP B1 MD,0.9,colon,Images,0,1,4,"colon/time, multi-token text, explicit unit",Standard review,Not started,
21,batch_02,298.png,28:06:26,kVA,d IP B1 MD,0.9,colon,Images,0,1,4,"colon/time, multi-token text, explicit unit",Standard review,Not started,
22,batch_02,313.png,11:01:30,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,
23,batch_02,372.png,16:06:26,kW,d IP B1 MD,0.9,colon,Images,0,1,4,"colon/time, multi-token text, explicit unit",Standard review,Not started,
24,batch_02,101.png,05.773,kVA,IP B1 MD,0.85,decimal,Images,1,2,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
25,batch_02,113.png,00.000,kW,IP B1 MD,0.85,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
26,batch_02,124.png,00.000,kVA,IP B1 MD,0.85,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
27,batch_02,127.png,9.8,,FG,0.8,decimal,Images,0,1,1,decimal,Standard review,Not started,
28,batch_02,136.png,5.8,,FG,0.8,decimal,Images,0,1,1,decimal,Standard review,Not started,
29,batch_02,137.png,888888.8,kWArh,EP T8 BAL8,0.55,decimal,Images,0,6,3,"decimal, repeated chars, explicit unit, low-confidence review",Mandatory review,Not started,
30,batch_02,178.png,0.999,,PF IPT1 BA,0.8,decimal,Images,1,3,3,"decimal, leading zeros, repeated chars",Standard review,Not started,
31,batch_02,181.png,1.000,,PF EPT1 BA,0.8,decimal,Images,0,3,3,"decimal, repeated chars",Standard review,Not started,
32,batch_02,201.png,00.000,kVA,EP B1 MD,0.85,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
33,batch_02,243.png,05.773,kW,IP B1 MD,0.9,decimal,Images,1,2,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
34,batch_02,271.png,0000.00,rupees,BAL,0.9,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
35,batch_02,282.png,0000.00,rupees,Alr,0.85,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
36,batch_02,290.png,00.000,kW,EP B1 MD,0.9,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
37,batch_02,292.png,1.000,,PF EP T1 BA,0.9,decimal,Images,0,3,4,"decimal, repeated chars, multi-token text",Standard review,Not started,
38,batch_02,357.png,0000.00,rupees,lr,0.9,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, explicit unit",Standard review,Not started,
39,batch_02,109.png,51,,T2 S,0.85,integer,Images,0,1,2,coverage diversity,Standard review,Not started,
40,batch_02,143.png,000141,kWh,IP B1,0.9,integer,Images,3,3,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
41,batch_03,148.png,000003,,T2 S,0.85,integer,Images,5,5,2,"leading zeros, repeated chars",Standard review,Not started,
42,batch_03,162.png,000030,kWh,IP B1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
43,batch_03,198.png,000003,kWh,EP B1,0.9,integer,Images,5,5,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
44,batch_03,223.png,51000,,S T2,0.75,integer,Images,0,3,2,repeated chars,Priority review,Not started,
45,batch_03,256.png,642511,,S T1,0.8,integer,Images,0,2,2,repeated chars,Standard review,Not started,
46,batch_03,257.png,000030,kWh,IP T1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
47,batch_03,284.png,000003,kWh,EP T1,0.9,integer,Images,5,5,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
48,batch_03,297.png,000034,kVAh,IP B1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, explicit unit",Standard review,Not started,
49,batch_03,303.png,042,,S T1,0.35,integer,Images,1,1,2,"leading zeros, low-confidence review",Mandatory review,Not started,
50,batch_03,309.png,042513,,S T1,0.9,integer,Images,1,1,2,leading zeros,Standard review,Not started,
51,batch_03,385.png,0,,S T1,0.3,integer,Images,1,1,2,"leading zeros, low-confidence review",Mandatory review,Not started,
52,batch_03,67.png,513000,,S T1,0.55,integer,Images,0,3,2,"repeated chars, low-confidence review",Mandatory review,Not started,
