image,value,unit,display_text
25.png,,,Pr mode F
26.png,888888.8,kWArh,EP T8 BAL8
27.png,08:06:26,,d
28.png,12:53:20,,t
29.png,0000.00,rupees,lr
30.png,0000.00,rupees,lr
31.png,00:00:00,,d lr
32.png,00:00:00,,t lr
33.png,0000.00,rupees,BAL
34.png,00:00:00,,d BAL
35.png,00:00:00,,t BAL
36.png,0000.00,rupees,Alr
37.png,000000,kWh,F T4
38.png,00.000,kW,F MD
39.png,00:00:00,kW,F MD d
40.png,888888.8,kWArh,EP T8 BAL8
41.png,08:06:26,,d
42.png,239.9,V,T4
43.png,000.00,A,IP T4
44.png,000.00,A,In T4
45.png,000.72,kW,T4
46.png,000.72,kW,T4
47.png,1.000,,PF T4
48.png,08:06:26,,d
49.png,12:56:41,,t
50.png,239.9,V,T4
51.png,002.99,A,IP T4
52.png,000.00,A,In T4
53.png,000.72,kW,T4
54.png,000.71,kW,T4
55.png,1.000,,PF T4
56.png,08:06:26,,d
57.png,08:06:26,,d
58.png,12:58:04,,t
59.png,227.7,V,T4
60.png,002.99,A,IP T4
61.png,003.01,A,IP T4
62.png,000.01,A,In T4
63.png,000.68,kW,T4
64.png,0.997,,PF T4
65.png,,,Pr mode F
66.png,425130,,S T1
67.png,513000,,S T1
68.png,130000,,S T1
69.png,000003,,S T1
70.png,04:07:26,,d
71.png,360,,S T1
72.png,000036,,S T1
73.png,10:35:20,,t
74.png,10:35:18,,t
75.png,10:35:19,,t
76.png,10:35:21,,t
77.png,0000.00,rupees,BAL
78.png,10:35:24,,t
79.png,10:35:22,,t
80.png,00:00:00,,d BAL
81.png,10:35:25,,t
82.png,00:00:00,,t lr
83.png,0000.00,rupees,lr
84.png,00:00:00,,t lr
85.png,05.773,kW,IP B1 MD
86.png,000030,kWh,IP B1
87.png,000003,kWh,EP B1
88.png,09:15:00,kW,t IP B1 MD
89.png,09:15:00,kW,t IP B1 MD
90.png,09:15:00,kW,t IP B1 MD
91.png,28:06:26,kW,d IP B1 MD
92.png,00.000,kW,EP B1 MD
93.png,28:06:26,kW,d EP B1 MD
94.png,0.999,,PF IPT B1 A
95.png,000034,kVAh,IP B1
96.png,000034,kVAh,IP B1
97.png,0.999,,PF IPT1 BA
98.png,1.000,,PF EPT1 BA
99.png,05.773,kVA,IP B1 MD
100.png,28:06:26,kVA,d IP B1 MD
101.png,05.773,kVA,IP B1 MD
102.png,28:06:26,kVA,d IP B1 MD
103.png,09:15:00,kVA,t IP B1 MD
104.png,28:06:26,kVA,d IP B1 MD
105.png,,,PuSh
106.png,,,PO mode n
107.png,,,C_OPEN
108.png,888888.8,kWArh,EP T8 BAL8
109.png,51,,T2 S
110.png,22:06:26,,d
111.png,000003,,T2 S
112.png,18:50:19,,t
113.png,00.000,kW,IP B1 MD
114.png,000141,kWh,IP B1
115.png,510000,,S T2
116.png,03,,S T2
117.png,17:12:00,kW,t IP B1 MD
118.png,00169,kVA,IP B1
119.png,000169,kVAh,IP B1
120.png,16:06:26,kW,d IP B1 MD
121.png,1.000,,PF IPT2 BA
122.png,00.000,kVA,IP B1 MD
123.png,,,C_OPEN
124.png,00.000,kVA,IP B1 MD
125.png,00.000,kVA,IP B1 MD
126.png,,,PO mode n
127.png,9.8,,FG
128.png,,,PO mode n
129.png,,,PO mode n
130.png,6.8,,FG
131.png,,,PO mode n
132.png,,,PO mode n
133.png,4.8,,FG
134.png,,,PO mode n
135.png,,,PO mode n
136.png,5.8,,FG
137.png,888888.8,kWArh,EP T8 BAL8
138.png,18:38:46,,t
139.png,18:38:49,,t
140.png,,,C_OPEN
141.png,18:38:48,,t
142.png,510000,,S T2
143.png,000141,kWh,IP B1
144.png,18:38:47,,t
145.png,51,,T2 S
146.png,3,,T2 S
147.png,000141,kWh,IP B1
148.png,000003,,T2 S
149.png,000141,kWh,IP B1
150.png,16:06:26,kW,d IP B1 MD
151.png,00:00:00,,t BAL
152.png,0000.00,rupees,lr
153.png,,,C_OPEN
154.png,00:00:00,,d lr
155.png,0000.00,rupees,Alr
156.png,00:00:00,,t BAL
157.png,0000.00,rupees,lr
158.png,0000.00,rupees,Alr
159.png,000030,kWh,IP B1
160.png,000003,kWh,EP B1
161.png,00:00:00,,d lr
162.png,000030,kWh,IP B1
163.png,000003,kWh,EP B1
164.png,000030,kWh,IP B1
165.png,05.773,kW,IP B1 MD
166.png,28:06:26,kW,d IP B1 MD
167.png,00.000,kW,EP B1 MD
168.png,05.773,kW,IP B1 MD
169.png,09:15:00,kW,t IP B1 MD
170.png,09:00:00,kW,t EP B1 MD
171.png,09:15:00,kW,t IP B1 MD
172.png,0000.00,rupees,lr
173.png,0.999,,PF IPT1 BA
174.png,1.000,,PF EPT1 BA
175.png,09:00:00,kVA,t EP B1 MD
176.png,09:00:00,kW,t EP B1 MD
177.png,00.000,kW,EP B1 MD
178.png,0.999,,PF IPT1 BA
179.png,28:06:26,kW,d EP B1 MD
180.png,0.999,,PF IPT1 BA
181.png,1.000,,PF EPT1 BA
182.png,0.999,,PF IPT1 BA
183.png,888888.8,kWArh,EP T8 BAL8
184.png,64,,T1 S
185.png,04:07:26,,d
186.png,0000.00,rupees,lr
187.png,04:07:26,,d
188.png,00:00:00,,d BAL
189.png,0000.00,rupees,BAL
190.png,00:00:00,,d lr
191.png,1.000,,PF EPT1 BA
192.png,05.773,kW,IP B1 MD
193.png,05.773,kVA,IP B1 MD
194.png,000030,kWh,IP B1
195.png,0.999,,PF IPT1 BA
196.png,000034,kVAh,IP B1
197.png,28:06:26,kW,d EP B1 MD
198.png,000003,kWh,EP B1
199.png,00.000,kVA,EP B1 MD
200.png,09:00:00,kW,t EP B1 MD
201.png,00.000,kVA,EP B1 MD
202.png,00.000,kVA,EP B1 MD
203.png,09:00:00,kVA,t EP B1 MD
204.png,00.000,kVA,EP B1 MD
205.png,28:06:26,kVA,d EP B1 MD
206.png,,,C_OPEN
207.png,28:06:26,kVA,d EP B1 MD
208.png,09:00:00,kVA,t EP B1 MD
209.png,888888.8,kWArh,EP T8 BAL8
210.png,18:49:30,,t
211.png,000.00,A,IP T1
212.png,,,PuSh
213.png,22:06:26,,d
214.png,0003,,T2 S
215.png,,,PO mode n
216.png,510000,,S T2
217.png,888888.8,kWArh,EP T8 BAL8
218.png,5,,S T2
219.png,000141,kWh,IP B1
220.png,17:12:00,kW,t IP B1 MD
221.png,000141,kWh,IP B1
222.png,17:12:00,kW,t IP B1 MD
223.png,51000,,S T2
224.png,00.000,kVA,IP B1 MD
225.png,18:50:17,,t
226.png,16:06:26,kW,d IP 1 MD
227.png,,,PO mode n
228.png,000169,kVAh,IP B1
229.png,5.8,,FG
230.png,8.8,,FG
231.png,00:00:00,,d BAL
232.png,,,PO mode n
233.png,888888.8,kWArh,EP T8 BAL8
234.png,0000.00,rupees,lr
235.png,0000.00,rupees,BAL
236.png,0000.00,rupees,Alr
237.png,10:24:45,,t
238.png,000030,kWh,IP B1
239.png,00:00:00,,t lr
240.png,05.773,kW,IP B1 MD
241.png,00:00:00,,d lr
242.png,0000.00,rupees,Alr
243.png,05.773,kW,IP B1 MD
244.png,00.000,kW,EP B1 MD
245.png,05.773,kW,IP B1 MD
246.png,28:06:26,kW,d IP B1 MD
247.png,09:00:00,kW,t EP B1 MD
248.png,09:15:00,kW,t IP B1 MD
249.png,1.000,,PF EP T1 BA
250.png,09:15:00,kW,t IP B1 MD
251.png,28:06:26,kW,d EP B1 MD
252.png,000030,kWh,IP T1
253.png,0.999,,PF IP T1 BA
254.png,888888.8,kWArh,EP T8 BAL8
255.png,000003,kWh,EP T1
256.png,642511,,S T1
257.png,000030,kWh,IP T1
258.png,000003,kWh,EP T1
259.png,300000,,S T1
260.png,,,Pr mode n
261.png,,,S T1
262.png,513000,,S T1
263.png,04:07:26,,d
264.png,036.0,,S T1
265.png,10:35:25,,t
266.png,000003,,S T1
267.png,04:07:26,,d
268.png,0000.00,rupees,BAL
269.png,00:00:00,,t BAL
270.png,10:35:16,,t
271.png,0000.00,rupees,BAL
272.png,0000.00,rupees,lr
273.png,00:00:00,,d BAL
274.png,00:00:00,,d lr
275.png,0000.00,rupees,BAL
276.png,00:00:00,,t lr
277.png,0000.00,rupees,lr
278.png,00:00:00,,d lr
279.png,000030,kWh,IP B1
280.png,00:00:00,,d lr
281.png,000003,kWh,EP B1
282.png,0000.00,rupees,Alr
283.png,00:00:00,,t lr
284.png,000003,kWh,EP T1
285.png,28:06:26,kW,d IP B1 MD
286.png,05.773,kW,IP B1 MD
287.png,09:00:00,kW,t EP B1 MD
288.png,00.000,kW,EP B1 MD
289.png,0.999,,IP T1 BA
290.png,00.000,kW,EP B1 MD
291.png,28:06:26,kW,d EP B1 MD
292.png,1.000,,PF EP T1 BA
293.png,09:00:00,kW,t EP B1 MD
294.png,000034,kVAh,IP B1
295.png,09:00:00,kW,t EP B1 MD
296.png,0.999,,PF IP T1 BA
297.png,000034,kVAh,IP B1
298.png,28:06:26,kVA,d IP B1 MD
299.png,1.000,,PF EP T1 BA
300.png,000005,kVAh,EP B1
301.png,09:15:00,kVA,t IP B1 MD
302.png,05.773,kVA,IP B1 MD
303.png,042,,S T1
304.png,05.773,kVA,IP B1 MD
305.png,425130,,S T1
306.png,28:06:26,kVA,d IP B1 MD
307.png,04,,S T1
308.png,,,S T1
309.png,042513,,S T1
310.png,09:15:00,kVA,t IP B1 MD
311.png,130000,,S T1
312.png,11:01:28,,t
313.png,11:01:30,,t
314.png,036.0,,S T1
315.png,513000,,S T1
316.png,0000.00,rupees,BAL
317.png,11:01:21,,t
318.png,00:00:00,,d BAL
319.png,04:07:26,,d
320.png,11:02:03,,t
321.png,0000.00,rupees,BAL
322.png,0000.00,rupees,BAL
323.png,0000.00,rupees,BAL
324.png,00:00:00,,d BAL
325.png,04:07:26,,d
326.png,0000.00,rupees,lr
327.png,0,,S T1
328.png,00:00:00,,d lr
329.png,,,Pr mode n
330.png,00:00:00,,d lr
331.png,04:07:26,,d
332.png,00:00:00,,d BAL
333.png,513000,,S T1
334.png,,,AutO
335.png,425130,,S T1
336.png,0000.00,rupees,BAL
337.png,00:00:00,,t lr
338.png,00:00:00,,d lr
339.png,0,,S T1
340.png,042513,,S T1
341.png,00:00:00,,t BAL
342.png,036.0,,S T1
343.png,00:00:00,,d BAL
344.png,11:03:42,,t
