selection_id,image,value,unit,display_text,confidence,format,source_group,leading_zeros,max_repeat_run,token_count,selection_reason,review_priority,annotation_status,annotator,reviewer,notes
1,39.png,00:00:00,kW,F MD d,0.8,colon,LCD_ORIGINAL,2,2,3,"colon/time, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
2,43.png,000.00,A,IP T4,0.95,decimal,LCD_ORIGINAL,3,3,2,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
3,44.png,000.00,A,In T4,0.9,decimal,LCD_ORIGINAL,3,3,2,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
4,45.png,000.72,kW,T4,0.95,decimal,LCD_ORIGINAL,3,3,1,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
5,54.png,000.71,kW,T4,0.95,decimal,LCD_ORIGINAL,3,3,1,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
6,37.png,000000,kWh,F T4,0.85,integer,LCD_ORIGINAL,6,6,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
7,110.png,22:06:26,,d,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
8,117.png,17:12:00,kW,t IP B1 MD,0.85,colon,Images,0,2,4,"colon/time, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
9,151.png,00:00:00,,t BAL,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
10,154.png,00:00:00,,d lr,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
11,175.png,09:00:00,kVA,t EP B1 MD,0.85,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
12,185.png,04:07:26,,d,0.9,colon,Images,1,1,1,"colon/time, leading zeros",Standard review,Not started,,,
13,188.png,00:00:00,,d BAL,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
14,247.png,09:00:00,kW,t EP B1 MD,0.9,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
15,248.png,09:15:00,kW,t IP B1 MD,0.9,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
16,276.png,00:00:00,,t lr,0.85,colon,Images,2,2,2,"colon/time, leading zeros, repeated chars",Standard review,Not started,,,
17,310.png,09:15:00,kVA,t IP B1 MD,0.9,colon,Images,1,2,4,"colon/time, leading zeros, repeated chars, multi-token text, rare/explicit unit",Standard review,Not started,,,
18,312.png,11:01:28,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
19,317.png,11:01:21,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
20,320.png,11:02:03,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
21,344.png,11:03:42,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
22,352.png,11:13:43,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
23,383.png,11:13:45,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
24,394.png,11:13:52,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
25,79.png,10:35:22,,t,0.9,colon,Images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
26,108.png,888888.8,kWArh,EP T8 BAL8,0.55,decimal,Images,0,6,3,"decimal, repeated chars, rare/explicit unit, low-confidence review case",Mandatory review,Not started,,,
27,122.png,00.000,kVA,IP B1 MD,0.85,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
28,130.png,6.8,,FG,0.8,decimal,Images,0,1,1,decimal,Standard review,Not started,,,
29,155.png,0000.00,rupees,Alr,0.75,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, rare/explicit unit",Priority review,Not started,,,
30,173.png,0.999,,PF IPT1 BA,0.8,decimal,Images,1,3,3,"decimal, leading zeros, repeated chars",Standard review,Not started,,,
31,174.png,1.000,,PF EPT1 BA,0.8,decimal,Images,0,3,3,"decimal, repeated chars",Standard review,Not started,,,
32,199.png,00.000,kVA,EP B1 MD,0.85,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
33,211.png,000.00,A,IP T1,0.8,decimal,Images,3,3,2,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
34,240.png,05.773,kW,IP B1 MD,0.9,decimal,Images,1,2,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
35,268.png,0000.00,rupees,BAL,0.9,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
36,272.png,0000.00,rupees,lr,0.9,decimal,Images,4,4,1,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
37,288.png,00.000,kW,EP B1 MD,0.9,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
38,289.png,0.999,,IP T1 BA,0.9,decimal,Images,1,3,3,"decimal, leading zeros, repeated chars",Standard review,Not started,,,
39,296.png,0.999,,PF IP T1 BA,0.9,decimal,Images,1,3,4,"decimal, leading zeros, repeated chars, multi-token text",Standard review,Not started,,,
40,304.png,05.773,kVA,IP B1 MD,0.9,decimal,Images,1,2,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
41,354.png,0036.0,,S T1,0.35,decimal,Images,2,2,2,"decimal, leading zeros, repeated chars, low-confidence review case",Mandatory review,Not started,,,
42,373.png,00.000,kW,IP B1 MD,0.9,decimal,Images,2,3,3,"decimal, leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
43,111.png,000003,,T2 S,0.85,integer,Images,5,5,2,"leading zeros, repeated chars",Standard review,Not started,,,
44,114.png,000141,kWh,IP B1,0.9,integer,Images,3,3,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
45,118.png,00169,kVA,IP B1,0.75,integer,Images,2,2,2,"leading zeros, repeated chars, rare/explicit unit",Priority review,Not started,,,
46,159.png,000030,kWh,IP B1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
47,163.png,000003,kWh,EP B1,0.9,integer,Images,5,5,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
48,228.png,000169,kVAh,IP B1,0.9,integer,Images,3,3,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
49,252.png,000030,kWh,IP T1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
50,258.png,000003,kWh,EP T1,0.9,integer,Images,5,5,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
51,266.png,000003,,S T1,0.9,integer,Images,5,5,2,"leading zeros, repeated chars",Standard review,Not started,,,
52,294.png,000034,kVAh,IP B1,0.9,integer,Images,4,4,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
53,339.png,0,,S T1,0.3,integer,Images,1,1,2,"leading zeros, low-confidence review case",Mandatory review,Not started,,,
54,72.png,000036,,S T1,0.85,integer,Images,4,4,2,"leading zeros, repeated chars",Standard review,Not started,,,
55,212.png,,,PuSh,0.85,text_only,Images,0,0,1,coverage diversity,Standard review,Not started,,,
56,329.png,,,Pr mode n,0.65,text_only,Images,0,0,3,coverage diversity,Priority review,Not started,,,
57,405.png,28:06:26,kW,d EP B1 MD,0.9,colon,more_images,0,1,4,"colon/time, multi-token text, rare/explicit unit",Standard review,Not started,,,
58,422.png,28:06:26,kW,d IP B1 MD,0.9,colon,more_images,0,1,4,"colon/time, multi-token text, rare/explicit unit",Standard review,Not started,,,
59,430.png,28:06:26,kVA,d IP B1 MD,0.9,colon,more_images,0,1,4,"colon/time, multi-token text, rare/explicit unit",Standard review,Not started,,,
60,454.png,11:01:30,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
61,458.png,11:03:01,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
62,460.png,11:04:12,,t,0.9,colon,more_images,0,2,1,"colon/time, repeated chars",Standard review,Not started,,,
63,442.png,1.000,,PF EP T1 BA,0.9,decimal,more_images,0,3,4,"decimal, repeated chars, multi-token text",Standard review,Not started,,,
64,408.png,000005,kVAh,EP B1,0.9,integer,more_images,5,5,2,"leading zeros, repeated chars, rare/explicit unit",Standard review,Not started,,,
