sample_key,split,group,source_image,compiled_image,regions,sha256
additional_100__batch_01__103.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\103.png,additional_100__batch_01__103.png,7,d88201b76d05faeda893379a032b82071596f6e856c63dc58fe90b9d366ecc37
additional_100__batch_01__161.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\161.png,additional_100__batch_01__161.png,3,6087d1657af87839c38302aae16b2bc3d012454113714648ff94eb3f5ede6048
additional_100__batch_01__187.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\187.png,additional_100__batch_01__187.png,2,95ccb3fe7d53f5fa076e8a293aa5c60fb62ff823e7d5c47f9d35bcc543bd570b
additional_100__batch_01__203.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\203.png,additional_100__batch_01__203.png,7,0c26c730d939ffd9ee9079c672480e0023e9a95819338b03ea9f504f2bc0201c
additional_100__batch_01__205.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\205.png,additional_100__batch_01__205.png,7,5e61aa178087fa3623b1ee0ed46368e7050b5f325de663465d60123ca47a1442
additional_100__batch_01__213.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\213.png,additional_100__batch_01__213.png,2,b720e365c448d3e38b5c8e7116bc26680c98e5635a6a324d61fb12102ad9cb94
additional_100__batch_01__222.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\222.png,additional_100__batch_01__222.png,7,39367a5a08b21aaa0f51e47cb93ef8259e1316dd1be98c2d3e816987e117100a
additional_100__batch_01__246.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\246.png,additional_100__batch_01__246.png,7,ad9e3e8dee7905f97ab2b1e2aba395e292ad6a858f12d3f943aeec520236d75d
additional_100__batch_01__250.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\250.png,additional_100__batch_01__250.png,7,b8ed3e33726770a4272b7448136a387013fa013bfac40a109887b49e6f39f856
additional_100__batch_01__269.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\269.png,additional_100__batch_01__269.png,3,95113e7abc6edf6dcb72fdddbe701cc83ae379a16abe7f448f45a59514f564c5
additional_100__batch_01__283.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\283.png,additional_100__batch_01__283.png,3,abea9bd63e4dfbff0f4245def73c87c1dd5180da1cae1a6523592ddc9e5aa61c
additional_100__batch_01__287.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\287.png,additional_100__batch_01__287.png,7,40dbe347b264dda81b5f9e70660b43c90d169a34532de89826778a0135aa0250
additional_100__batch_01__291.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\291.png,additional_100__batch_01__291.png,7,c7749f019f3cd43271d1fa11889050c1097f0f1f67170461e2d20e5cd6605830
additional_100__batch_01__46.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\46.png,additional_100__batch_01__46.png,3,10137fb73dc20c6223d5143976f3a16cc769bb3e56ac274411ce71fde47f8478
additional_100__batch_01__61.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\61.png,additional_100__batch_01__61.png,4,ccc9e29f4d51a3acf9822b29aafe57fe32c55c6184276482f35ff96646ad6737
additional_100__batch_01__63.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\63.png,additional_100__batch_01__63.png,3,09f986ff79726eff0dda692198f37ac89e68b285e626f7c892f948216a5acc12
additional_100__batch_01__64.png,train,additional_100__batch_01,D:\Actual Project\lcd-data-extractor\additional_100\batch_01\images\64.png,additional_100__batch_01__64.png,3,63ae12f383a808ffb5fb11f0b5d9f322994c6d0fac3d6f4b189beefa19565ae4
additional_100__batch_02__101.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\101.png,additional_100__batch_02__101.png,6,002e9a9ba1c72fd3b16ef7e117afd9cd40c8a8978932407371ea935db66cc796
additional_100__batch_02__109.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\109.png,additional_100__batch_02__109.png,3,2fcdfb476b54e6dc55e73f92c1469bb59328f7b7041d548c9eac630574cd6153
additional_100__batch_02__113.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\113.png,additional_100__batch_02__113.png,5,9f5542640b2e00c243476017529844eceb2e7b5bc77080d3162e186890d3d6de
additional_100__batch_02__136.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\136.png,additional_100__batch_02__136.png,2,58a3ac8d7fed66c41a94829fb5f322cec3b3e43b7357ba0d15b296b3d9632d71
additional_100__batch_02__143.png,train,additional_100__batch_02,D:\Actual Project\lcd-data-extractor\additional_100\batch_02\images\143.png,additional_100__batch_02__143.png,5,98f4e69d24c9ba366ba7145a66815d019ae6209fd650b7af2333425fe2132df9
