selection_id,split,image,value,unit,display_text,confidence,expected_full_text,format,leading_zeros,max_repeat_run,display_token_count,review_priority,bin
1,calibration,94.png,0.999,,PF IPT B1 A,0.7,0.999 | PF IPT B1 A,decimal,1,3,4,Priority review,0
2,calibration,121.png,1.000,,PF IPT2 BA,0.75,1.000 | PF IPT2 BA,decimal,0,3,3,Priority review,1
3,calibration,226.png,16:06:26,kW,d IP 1 MD,0.85,16:06:26 | kW | d IP 1 MD,colon,0,1,4,Standard review,2
4,calibration,301.png,09:15:00,kVA,t IP B1 MD,0.9,09:15:00 | kVA | t IP B1 MD,colon,1,2,4,Standard review,3
5,calibration,361.png,28:06:26,kW,d IP B1 MD,0.9,28:06:26 | kW | d IP B1 MD,colon,0,1,4,Standard review,4
6,calibration,425.png,1.000,,PF EP T BA,0.8,1.000 | PF EP T BA,decimal,0,3,4,Standard review,5
7,calibration,532.png,0000000.6,kWh,L1 L2 T1 t1B1,0.65,0000000.6 | kWh | L1 L2 T1 t1B1,decimal,7,7,4,Priority review,6
8,calibration,533.png,0000000.0,kWh,L1 L2 T1 t2B1,0.6,0000000.0 | kWh | L1 L2 T1 t2B1,decimal,7,7,4,Priority review,6
9,calibration,551.png,0000:00:05,,L1 L2 T1 POB,0.75,0000:00:05 | L1 L2 T1 POB,colon,4,4,4,Priority review,7
10,calibration,636.png,0000000.0,kWh,L2 T1 t3B1,0.65,0000000.0 | kWh | L2 T1 t3B1,decimal,7,7,3,Priority review,8
11,train,36.png,0000.00,rupees,Alr,0.75,0000.00 | rupees | Alr,decimal,4,4,1,Priority review,0
12,train,52.png,000.00,A,In T4,0.95,000.00 | A | In T4,decimal,3,3,2,Standard review,0
13,train,71.png,360,,S T1,0.5,360 | S T1,integer,0,1,2,Mandatory review,0
14,train,97.png,0.999,,PF IPT1 BA,0.8,0.999 | PF IPT1 BA,decimal,1,3,3,Standard review,0
15,train,98.png,1.000,,PF EPT1 BA,0.8,1.000 | PF EPT1 BA,decimal,0,3,3,Standard review,0
16,train,105.png,,,PuSh,0.85,PuSh,text_only,0,0,1,Standard review,1
17,train,106.png,,,PO mode n,0.65,PO mode n,text_only,0,0,3,Priority review,1
18,train,116.png,03,,S T2,0.8,03 | S T2,integer,1,1,2,Standard review,1
19,train,119.png,000169,kVAh,IP B1,0.9,000169 | kVAh | IP B1,integer,3,3,2,Standard review,1
20,train,133.png,4.8,,FG,0.8,4.8 | FG,decimal,0,1,1,Standard review,1
21,train,146.png,3,,T2 S,0.85,3 | T2 S,integer,0,1,2,Standard review,1
22,train,160.png,000003,kWh,EP B1,0.9,000003 | kWh | EP B1,integer,5,5,2,Standard review,1
23,train,184.png,64,,T1 S,0.8,64 | T1 S,integer,0,1,2,Standard review,2
24,train,186.png,0000.00,rupees,lr,0.85,0000.00 | rupees | lr,decimal,4,4,1,Standard review,2
25,train,189.png,0000.00,rupees,BAL,0.85,0000.00 | rupees | BAL,decimal,4,4,1,Standard review,2
26,train,214.png,0003,,T2 S,0.75,0003 | T2 S,integer,3,3,2,Priority review,2
27,train,218.png,5,,S T2,0.8,5 | S T2,integer,0,1,2,Standard review,2
28,train,220.png,17:12:00,kW,t IP B1 MD,0.85,17:12:00 | kW | t IP B1 MD,colon,0,2,4,Standard review,2
29,train,229.png,5.8,,FG,0.8,5.8 | FG,decimal,0,1,1,Standard review,2
30,train,249.png,1.000,,PF EP T1 BA,0.9,1.000 | PF EP T1 BA,decimal,0,3,4,Standard review,3
31,train,251.png,28:06:26,kW,d EP B1 MD,0.9,28:06:26 | kW | d EP B1 MD,colon,0,1,4,Standard review,3
32,train,253.png,0.999,,PF IP T1 BA,0.9,0.999 | PF IP T1 BA,decimal,1,3,4,Standard review,3
33,train,255.png,000003,kWh,EP T1,0.9,000003 | kWh | EP T1,integer,5,5,2,Standard review,3
34,train,300.png,000005,kVAh,EP B1,0.9,000005 | kVAh | EP B1,integer,5,5,2,Standard review,3
35,train,302.png,05.773,kVA,IP B1 MD,0.9,05.773 | kVA | IP B1 MD,decimal,1,2,3,Standard review,3
36,train,307.png,04,,S T1,0.35,04 | S T1,integer,1,1,2,Mandatory review,3
37,train,327.png,0,,S T1,0.3,0 | S T1,integer,1,1,2,Mandatory review,4
38,train,328.png,00:00:00,,d lr,0.85,00:00:00 | d lr,colon,2,2,2,Standard review,4
39,train,340.png,042513,,S T1,0.9,042513 | S T1,integer,1,1,2,Standard review,4
40,train,341.png,00:00:00,,t BAL,0.85,00:00:00 | t BAL,colon,2,2,2,Standard review,4
41,train,356.png,000030,kWh,IP B1,0.9,000030 | kWh | IP B1,integer,4,4,2,Standard review,4
42,train,365.png,05.773,kW,IP B1 MD,0.9,05.773 | kW | IP B1 MD,decimal,1,2,3,Standard review,4
43,train,370.png,000141,kWh,IP B1,0.9,000141 | kWh | IP B1,integer,3,3,2,Standard review,4
44,train,406.png,09:00:00,kW,t EP B1 MD,0.9,09:00:00 | kW | t EP B1 MD,colon,1,2,4,Standard review,5
45,train,413.png,5100,,S T2,0.35,5100 | S T2,integer,0,2,2,Mandatory review,5
46,train,415.png,7.8,,FG,0.8,7.8 | FG,decimal,0,1,1,Standard review,5
47,train,418.png,16:06:26,kW,d IP B1 MD,0.9,16:06:26 | kW | d IP B1 MD,colon,0,1,4,Standard review,5
48,train,433.png,18:49:31,,t,0.9,18:49:31 | t,colon,0,1,1,Standard review,5
49,train,437.png,1.000,,PF EP T2 BA,0.9,1.000 | PF EP T2 BA,decimal,0,3,4,Standard review,5
50,train,438.png,00.000,kVA,IP B1 MD,0.9,00.000 | kVA | IP B1 MD,decimal,2,3,3,Standard review,5
51,train,480.png,0000000.0,kVAh,L1 L2 T1 t3,0.85,0000000.0 | kVAh | L1 L2 T1 t3,decimal,7,7,4,Standard review,6
52,train,506.png,240.06,V,L1 L2 T1 y,0.85,240.06 | V | L1 L2 T1 y,decimal,0,1,4,Standard review,6
53,train,507.png,0.00,V,L1 L2 T1 b,0.85,0.00 | V | L1 L2 T1 b,decimal,1,2,4,Standard review,6
54,train,511.png,0.000,A,L1 L2 T1 NEU,0.85,0.000 | A | L1 L2 T1 NEU,decimal,1,3,4,Standard review,6
55,train,526.png,1.000,,L1 L2 T1 PF R,0.85,1.000 | L1 L2 T1 PF R,decimal,0,3,5,Standard review,6
56,train,530.png,49.984,Hz,T1 F,0.85,49.984 | Hz | T1 F,decimal,0,1,2,Standard review,6
57,train,554.png,0.280,kW,L1 L2 T1 B1 IMD,0.75,0.280 | kW | L1 L2 T1 B1 IMD,decimal,1,1,5,Priority review,7
58,train,564.png,8888888.8,kWAhHz,TB,0.4,8888888.8 | kWAhHz | TB,decimal,0,7,1,Mandatory review,7
59,train,569.png,0000000.0,kWh,L1 L2 T1 t2,0.8,0000000.0 | kWh | L1 L2 T1 t2,decimal,7,7,4,Standard review,7
60,train,572.png,0000001.0,kVAh,L1 L2 T1 t1,0.8,0000001.0 | kVAh | L1 L2 T1 t1,decimal,6,6,4,Standard review,7
61,train,584.png,0000000.0,kVAh,L1 L2 T1 t2,0.8,0000000.0 | kVAh | L1 L2 T1 t2,decimal,7,7,4,Standard review,7
62,train,604.png,195.04,V,T1 r,0.85,195.04 | V | T1 r,decimal,0,1,2,Standard review,7
63,train,611.png,0.000,kW,T1 P,0.85,0.000 | kW | T1 P,decimal,1,3,2,Standard review,7
64,train,627.png,49.984,Hz,L1 L2 T1 F,0.85,49.984 | Hz | L1 L2 T1 F,decimal,0,1,4,Standard review,8
65,train,643.png,0.800,,PF L2 T1 B1 AVG,0.75,0.800 | PF L2 T1 B1 AVG,decimal,1,2,5,Priority review,8
66,train,657.png,0000000.7,kWh,L1 L2 T1 CUM,0.8,0000000.7 | kWh | L1 L2 T1 CUM,decimal,7,7,4,Standard review,8
67,train,658.png,0000000.7,kWh,L1 L2 T1 t1,0.8,0000000.7 | kWh | L1 L2 T1 t1,decimal,7,7,4,Standard review,8
68,train,663.png,0000000.0,kVAh,L1 T1 t3,0.8,0000000.0 | kVAh | L1 T1 t3,decimal,7,7,3,Standard review,8
69,train,671.png,192.51,V,L1 L2 T1 r,0.85,192.51 | V | L1 L2 T1 r,decimal,0,1,4,Standard review,8
70,train,676.png,0.119,A,L1 L2 T1 b,0.85,0.119 | A | L1 L2 T1 b,decimal,1,2,4,Standard review,8
71,validation,62.png,000.01,A,In T4,0.95,000.01 | A | In T4,decimal,3,3,2,Standard review,0
72,validation,88.png,09:15:00,kW,t IP B1 MD,0.75,09:15:00 | kW | t IP B1 MD,colon,1,2,4,Priority review,0
73,validation,100.png,28:06:26,kVA,d IP B1 MD,0.85,28:06:26 | kVA | d IP B1 MD,colon,0,1,4,Standard review,1
74,validation,239.png,00:00:00,,t lr,0.85,00:00:00 | t lr,colon,2,2,2,Standard review,2
75,validation,273.png,00:00:00,,d BAL,0.85,00:00:00 | d BAL,colon,2,2,2,Standard review,3
76,validation,325.png,04:07:26,,d,0.9,04:07:26 | d,colon,1,1,1,Standard review,4
77,validation,412.png,18:50:17,,t,0.9,18:50:17 | t,colon,0,1,1,Standard review,5
78,validation,488.png,0.916,,PF L1 L2 T1 AVG,0.85,0.916 | PF L1 L2 T1 AVG,decimal,1,1,5,Standard review,6
79,validation,610.png,0.000,A,T1 NEU,0.85,0.000 | A | T1 NEU,decimal,1,3,2,Standard review,7
80,validation,624.png,1.000,,L1 L2 T1 PF B,0.85,1.000 | L1 L2 T1 PF B,decimal,0,3,5,Standard review,8
