"sequence_id","batch","image","source_path","relative_destination","annotation_status","annotator","reviewer","notes"
"1","batch_01","25.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\25.png","batch_01/images/25.png","Not started","","",""
"2","batch_01","27.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\27.png","batch_01/images/27.png","Not started","","",""
"3","batch_01","28.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\28.png","batch_01/images/28.png","Not started","","",""
"4","batch_01","29.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\29.png","batch_01/images/29.png","Not started","","",""
"5","batch_01","30.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\30.png","batch_01/images/30.png","Not started","","",""
"6","batch_01","31.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\31.png","batch_01/images/31.png","Not started","","",""
"7","batch_01","32.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\32.png","batch_01/images/32.png","Not started","","",""
"8","batch_01","33.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\33.png","batch_01/images/33.png","Not started","","",""
"9","batch_01","34.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\34.png","batch_01/images/34.png","Not started","","",""
"10","batch_01","35.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\35.png","batch_01/images/35.png","Not started","","",""
"11","batch_01","40.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\40.png","batch_01/images/40.png","Not started","","",""
"12","batch_01","41.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\41.png","batch_01/images/41.png","Not started","","",""
"13","batch_01","42.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\42.png","batch_01/images/42.png","Not started","","",""
"14","batch_01","47.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\47.png","batch_01/images/47.png","Not started","","",""
"15","batch_01","48.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\48.png","batch_01/images/48.png","Not started","","",""
"16","batch_01","49.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\49.png","batch_01/images/49.png","Not started","","",""
"17","batch_01","50.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\50.png","batch_01/images/50.png","Not started","","",""
"18","batch_01","53.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\53.png","batch_01/images/53.png","Not started","","",""
"19","batch_01","55.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\55.png","batch_01/images/55.png","Not started","","",""
"20","batch_01","56.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\56.png","batch_01/images/56.png","Not started","","",""
"21","batch_01","57.png","D:\Actual Project\lcd-data-extractor\data\LCD_ORIGINAL\57.png","batch_01/images/57.png","Not started","","",""
